id,a49,a50,a51,a52,a53,a54
2c9296235677e1bd68d2a3e59647caec,263.328643,288.09708,333.6015,316.8125,334.61244,373.464
c45251bc7e8b7b67a3ebc17688f8909f,673.4208,645.04604,610.2876,876.85,813.56252,785.6576
6526f920d46cc08c7bc97434cfafefab,NULL,NULL,NULL,2709.375,838.1,4855.2
5a1a5c0c8db6128ef904e55a94b2813c,25141.3536,23576.20296,23149.7517,33261.1375,30215.56503,29801.9792
2877890e110e6e8ad0d0d9b4ec5d253d,0,0,0,0,0,0
2afeffddc265cd9bcdcee2687d40086b,571.062403,988.8896,206.0073,201.7375,906.3776,79.2848
9ba9e2d4d3cd43a5be2a61dbabb7607a,47.0112,52.9598,31.4679,68.145838,64.567537,79.0384
8343fe704700421ed7f2d7dd8276d998,72100.0896,69095.87412,65340.7062,93880.325,87120.91956,84116.7712
37712b6a84c0fcc2a71b04d351333166,0,0,0,0,0,0
82dacad8c8014621b134ddabdc6d5535,0.2976,0.280195,0.2697,0.3875,0.357152,0.3472
c5bf1017bc4e9ab023175da7d6aff258,0,0,0,0,0,0
f2cf6cf915a7313b50f09d5679fad692,4.9536,4.7472,4.4892,6.45,5.9856,5.7792
ed03085a4c4e01a42ca1efd49ca1c87f,159.648,152.920864,144.681,207.875,192.871263,186.256
89dd5a98f7d2021c28ed78cd45f00e4e,96.0288,68.501461,87.0261,151.079163,124.083008,812.0336
0d82999f122f5ecc25ad16c48cd7dbab,0,0,0,0,0,0
5828c8d52493534b5a18362b3973f2ae,0,0,0,0,0,0
8d50564aca4abd12cb925606c623e952,0,0,0,0,0,0
2ac068adcc3c1b01f54fbc39d7ed4caf,0,0,0,0,0,0
bcb644df83bac81fa5ed45ae5a32b74c,0,0,0,0,0,0
85e792e8d7b02b9aadd0bddc5fbee046,427.5456,409.530842,387.4632,556.7,516.51965,498.8032
c718fd3901c2472d30774823bbd719b1,2.166403,1.248642,2.6013,2003.7375,621.078175,3.3488
56135d1258dd46753b38963db7b9a347,29234.55776,27981.01922,26524.4469,38145.13041,35331.20576,34208.1152
8c9ce282d412104ebdd07347bfb59ef0,0,0,0,0,0,0
1f8ce3e97db90194a73a80bf32f95871,116.4384,111.531701,105.5223,151.6125,140.669465,135.8448
dd3f70ba1dc1b0ee7fb0cdedca78324a,0.0096,0.0092,0.0087,0.0125,0.0116,0.0112
bdd13ad025149d5c131f44ef953fc1e4,31.6224,30.289776,28.6578,41.175,38.203057,36.8928
950b91fb8c2072430ed6371f093bf4e1,160.704,153.927868,145.638,209.25,194.144827,187.488
ed0e25d13cb7fbb632b0df28494e129e,15246.6432,21593.57974,6876.4974,22434.69166,22000.16986,16024.9824
189cd034038de78dc395e51c70142671,0,0,0,0,0,0
b53dbf0f28bf1ce1d48d0ee32489eeb1,0,0,0,0,0,0
781e378cab35928cd87a04f8032a837d,49399.7712,47439.71117,44779.6482,64347.325,59614.89413,57676.7632
8161115133131c134b0cd4932a5b214b,643.536,695.351842,583.2045,837.9375,815.761625,750.792
a81e170844a9baa5a7c63b9abb1cdf9f,32763.60064,29086.7887,30781.7049,38408.68291,37403.68561,31184.9552
9d7ee03599ac7839cf7b7daea24a9406,1705.34112,1786.303078,2207.799,2334.687913,2126.98593,1835.2432
d944231058b9d0bc5efa279c16b17601,367278.1757,343233.5875,332732.6745,486732.5783,442278.5792,439773.3424
c72f6d69610f441c427ab41d6d51d760,545.278397,391.134725,0,108.73375,345.35701,0
7e08b580fc0e99aacc57d74c78086f24,100.000003,31.944442,543.75,543.75,208.477775,364
6a91eb55fe61ade4ea8102f116039177,57.058877,107.019819,82.7544,58.266663,82.376623,10.6624
9654a59d3e1eafa24b19be7d2e4a551b,1302.764803,1184.033045,1633.7556,2347.35,1735.010968,2103.2256
b8dcc1b7cfb5832684a26b840e952dc1,49331.2192,47644.27818,44387.4174,59608.35834,58411.39143,50422.4224
434ed3f0420c68ad713256d1b62cc084,398.0544,779.44424,360.7368,518.3,480.644457,464.3968
3058323eef1d4e0229d8ad94c0b45ab1,31508.224,23784.10936,33065.0634,53049.025,39466.96549,49613.648
662b8e021a5143d01f35d460d9d73905,82340.9472,78723.678,74751.9834,101816.3375,97745.16339,90842.4384
b36690aab6cda2cca989bcfdcb97978d,149.2608,179.093539,116.6148,167.55,194.810655,150.1248
bad5dd9cf07cf029512fb5b9fee6e7bf,220.8576,215.350224,200.1522,4451.561663,1555.760425,56251.664
6f7b3fbd9f95bfddfea901973aec2d08,171.034243,121.576261,0.6351,27.600413,143.447537,145.6
f438e3b8be7892cfe3d148caab1af6bb,146.4288,140.257478,132.7011,190.6625,176.90051,170.8336
08e948f0938f08afb858522c13f6c049,49037.9136,46983.97322,44440.6092,63851.45,59248.91723,57210.8992
4dcd4ea1bb77a553363b4ace336be0c8,30042.24,28790.48,27225.78,39117.5,36301.04,35049.28
c3078536fce6ce1496074cc7f504f865,4928.7648,3475.921515,4833.6591,13830.45416,8274.121463,11462.5616
748806b25e49fa10bf4613d9fd1cb1e9,NULL,NULL,NULL,0,0,0
e15d34978498fab6b52269b3ab9e4305,0,0,0,0,0,0
99c11eedccd38afb1dde6169e25628ed,0,0,0,0,0,0
b64971f1a7c4054b7d28439f6e7e6dae,28159.36192,27543.43432,23018.6775,41922.66666,36865.59266,38813.88
c24ef707db44721b21899e392d496d87,120891.024,108369.0573,109557.4905,167486.7342,145479.9524,174521.0544
01c609bdad28701a28f171874b5701d5,0,0,0,0,0,0
4e8bfb349d0518bb0b0a41da7a7f2036,960.2016,644.088016,870.1827,1250.2625,1160.192177,1120.2352
2be3d91c74b95c5b3d02b1ee36e07a49,5240.58624,5642.12919,5049.741,15244.125,9559.65693,19059.376
ea0b08c91eca22c183ad6d8a0acd8433,112.073597,150.532139,9.918,8.458338,120.099568,0
b9633951a304eb8786ef252c55fe0f48,62.784,60.137944,56.898,87.166663,77.524853,84.448
00ea576dd8950e33d2fb6442ed6f1d3b,NULL,NULL,NULL,0,0,0
3d240282d9db58ae591fb963d4816de0,64.7232,61.996344,58.6554,84.275,78.192503,75.5104
5f62a451fe11230b846e331d220432db,696.0864,666.762235,630.8283,906.3625,840.947672,812.1008
8b147f2149d2351cf587bc4526dcfea0,196.34112,271.746325,171.0333,285.511663,293.73933,317.3744
7da19fd25e1f257fc50a89fa1024f087,9514.1568,9787.023784,7671.9645,10057.92916,11195.44665,8814.344
1c011b1b48e4e6af245fd1f78efd7196,0,0,0,0,0,0
256b192fe6232b0e604d1e68c1aeb642,4077.5616,3905.759821,3695.2902,5309.325,4926.123025,4757.1552
d2fa6642bbef81ce2b7f23e4359aed17,651.86688,522.636664,671.7183,1026.3375,792.80896,1029.3136
6a16d8364aacc2e8b404eafa03a627c0,367.4592,376.110922,333.0099,442.394163,441.462743,371.672
3f1feb332f5c789695755b6c69759484,70440.13888,68183.19876,63475.026,91199.75,85062.92218,81714.976
8efac6430d0ba00777fda54210934c85,0.96,5.433216,0.87,2678.670413,829.372937,38.9984
343841f008305805a0036fe52220356d,19632.5184,18814.29644,17791.9698,25563.175,23722.52845,22904.6048
af14f9720c46b4023b4c57a2bd625ec8,12.137597,5.608522,0.0435,0.270838,7.15539,1.176
96d2e7c11a14aee0b0c7b8daecaa232c,1033.00032,894.254518,0.3393,366.534588,734.81295,366.968
5cb6671ffef53ddc5c3c89044e1d145b,204.4512,443.931685,185.2839,266.2125,246.849288,238.5264
a49ebde67b41d2fa29bdac86600b6fe1,100.7328,96.49052,91.2891,131.1625,121.69676,117.5216
7300ce32d526a76fb326362e9b4c57e6,7578.476803,5463.204619,5640.1056,9072.433338,7176.95647,8899.3856
848e9f898acb6c671acceab0dfe59a7a,9.9264,9.507795,8.9958,12.925,11.991952,11.5808
a91e52070b7984506e66a17460c10351,98.3808,94.23652,89.1576,128.1,118.85476,114.7776
6dcdf6e855ed48ade5f076d06750f672,85218.20449,77570.28382,94896.5898,117611.5208,104716.7651,106999.3792
ac3a1c5fa22f23b5c9547c07352c14de,285.520003,587.376558,348.6525,567.604163,484.406337,448.84
ee6f91eb75e4b8d575cd1f61f88b0687,6.5088,6.232595,5.8986,8.475,7.862352,7.5936
b58107d949bdcbe5295ebb7d8c853a84,0,0,0,0,0,0
97d926c4a4acb69622a436e5ec52c00f,190.678723,258.031379,11.9712,59.210413,131.377343,3.0352
10183b89eeb3fe23346f83b6df7ff65b,3748.0896,3591.022605,3396.7062,4880.325,4528.503248,4372.7712
873a5e7d2453e85bcfca31fd63c4b21a,67383.34016,50973.98296,90204.6276,167852.97,106059.9516,56662.8272
f513e1592d11499fbe7a64f8ca94bbc3,783.648,750.630355,710.181,1020.375,946.729232,914.256
f307fd0fb015413681eff5602aaa3996,277075.9197,291102.2855,213883.0968,305813.2646,333831.8116,282121.0112
527a04d5bc1b1f9ea5c4ee86da33089c,0.8448,0.8096,0.7656,1.1,1.0208,0.9856
42404730828b7dafd67e37646b2a2571,0,0,0,0,0,0
18ed789e856df90fd8f603cbde964544,66554.09471,59752.9511,67343.5419,96898.29543,81058.54046,86929.3824
f03fb12fab6fbd5355ef89802c223374,389.056003,308.821202,805.707,1157.625,631.15433,1037.232
c5633941fa9c2829df17ac7126dc2fea,1056.6624,503.17008,958.2963,126.8625,673.121703,113.6688
999860218cb466863910013592fc375d,0.4128,0.3956,0.3741,0.5375,0.4988,0.4816
be8cb546e0cad2902e62762fe5257a10,63.5712,60.892344,57.6114,82.775,76.800503,74.1664
acd111ae776ecdf8c61e8c0e6e695524,282.550397,90.502038,87.8613,151.854163,161.084815,0.4368
d22bf5f04e76c1763c69d99c01dff31e,180.7968,173.178445,163.8471,235.4125,218.421168,210.9296
98f68792a04d4134849b7f461295d9d6,97.008,92.935944,87.9135,126.3125,117.203303,113.176
3cd8f3bc3c4954346fe97f2f9d974028,285.888,273.84076,259.086,372.25,345.38188,333.536
7c7016db8bfa6a049f5df6bce623f88f,9600.0864,9200.0828,8700.0783,12500.1125,11600.1044,11200.1008
