id,a28,a29,a30,a31,a32,a33,a34,a35
e5b07c23de336897b76a42b529611d04,0,0,0,0,0,0,0,0
eec89d2a80c4a980767dd50c514d3ef1,0,0,0,0,0,0,0,0
466c59f82cf1e9af5685dff9447d5129,0,0,0,0,0,0,0,0
882056634ddd4eacb00c28e579dbb54e,0,0,0,0,0,0,0,0
f14a92c9b5b966562953044f337d74d7,0,0,0,0,0,0,0,0
e28638accdf8e97859bc225e8e70558c,613.75,570,1,1,0,0,0,0
462a0863a1ac4480340a2a9a561a79e7,0,2027.68,0,1,2300,42141.12,1,3
d90b160231ebfea62ffc734d038476ef,0,0,0,0,0,0,0,0
3a4585f078e437526b99cd31dcd1b531,0,0,0,0,0,0,0,0
8fd01c6c18fb0b10aeedeb5c0e5fc739,0,0,0,0,0,0,0,0
769b096321a24ef1c7f401aafac507f4,0,0,0,0,0,0,0,0
c03d1c21420bee679a4ba6099b816baf,0,0,0,0,0,0,0,0
ebadea57fa4230ba7a3661f6974b6fb1,0,6881.249,0,9,35650,7094.9655,1,10
a28152f127f724d0a3a7b27252e4e128,3347.638,3646.575,1,46,3967.5,2071.65,1,28
1c1e3f22e11ea16c66713deaf999f5be,0,0,0,0,0,0,0,0
37ee81cb980c0db630f60bd19bb8ce38,3582.5324,3325,1,3,4179.79,3990,2,4
d20098d592fa84340a1539c7020d2f07,0,20.0735,0,1,0,33.285,0,1
4b433ba7fcc88d1bdea61845026cf153,0,0,0,0,0,0,0,0
f25cc5e6407dd8df89003e24367e8f24,0,0,0,0,0,0,0,0
f4f1e4f1dd36ce65ba598a405cf57ce5,0,0,0,0,0,0,0,0
0b194da281f67c428c5b157a5e427ac2,120617.0567,116680.9,2,2,0,0,0,0
f8b4f5461b1593ecf49e55fad1d30900,0,0,0,0,0,0,0,0
24706590fae91b43e43d6f00f49b0797,0,0,0,0,0,0,0,0
9aebc561fea05ced5cc37d0727cdc7ea,16690.29786,9196.931,5,79,7875.246,5881.848,4,67
41a6ef82c5a549789edb7769790d32fd,0,0,0,0,0,0,0,0
824c340b6816c366f3eb9e986643f064,0,0,0,0,0,0,0,0
54303857084d0946005cd1cbc3de36b7,0,0,0,0,0,0,0,0
6598eb94a0b86d89583e324ff4aad514,0,0,0,0,0,0,0,0
349da3d8bbf456647b92a6d3e5de11af,3240.6,2850,1,3,2070,2205.8715,1,10
34653599509f70c82b39d3f2d70bb82f,0,0,0,0,0,0,0,0
